(2.701878786087036, 0.8789161443710327)
(2.70664381980896, 0.7716511487960815)
(2.7495346069335938, 0.6840415000915527)
(2.8226869106292725, 0.6195142865180969)
(2.9149646759033203, 0.5878931283950806)
(3.0321402549743652, 0.5913244485855103)
(3.1197500228881836, 0.6342150568962097)
(3.184277057647705, 0.7073675990104675)
(3.215898275375366, 0.7996452450752258)
(3.2124669551849365, 0.9168208241462708)
(3.169576406478882, 1.0044305324554443)
(3.096423864364624, 1.0689576864242554)
(3.004146099090576, 1.1005789041519165)
(2.8869705200195312, 1.0971475839614868)
(2.799360990524292, 1.0542569160461426)
